"","Pos","LW","Weeks","Song","Artist","hit_week"
"9425","5","3","14","Loving Arms","Dobie Gray",1974-06-21
"9426","6","5","8","Dark Lady","Cher",1974-06-21
"9427","7","9","4","Emma","Hot Chocolate",1974-06-21
"9428","8","11","4","There Won’t be Anymore","Charlie Rich",1974-06-21
"9429","9","7","7","Hooked on a Feeling","Blue Swede",1974-06-21
"9430","10","6","10","I Need a Little Love","Lionel Petersen",1974-06-21
"9431","11","10","5","Haai Casanova","Glenys Lynne",1974-06-21
"9432","12","12","12","The Entertainer","Marvin Hamlisch",1974-06-21
"9433","13","14","4","The Show Must Go On","Leo Sayer",1974-06-21
"9434","14","13","9","Everything I Want to Do","Albert Hammond",1974-06-21
"9435","15","15","15","Hello Girl","Dr. Marigold’s",1974-06-21
"9436","16","20","2","Little Soldier Blue","Gwynneth Ashley-Robin",1974-06-21
"9437","17","19","2","Tchip Tchip","Dan Hill",1974-06-21
"9438","18","16","7","Mockingbird","Carly Simon & James Taylor",1974-06-21
"9439","19","18","8","Jet","Wings",1974-06-21
"9440","20","New","1","TSOP (The Sound of Philadelphia)","MFSB",1974-06-21
"9441","1","1","12","Solitaire","Andy Williams",1974-06-28
"9442","2","2","7","The Air That I Breathe","Hollies",1974-06-28
"9443","3","4","5","Waterloo","ABBA",1974-06-28
"9444","4","3","12","Seasons in the Sun","Terry Jacks",1974-06-28
"9445","5","6","9","Dark Lady","Cher",1974-06-28
"9446","6","7","5","Emma","Hot Chocolate",1974-06-28
"9447","7","5","15","Loving Arms","Dobie Gray",1974-06-28
"9448","8","8","5","There Won’t be Anymore","Charlie Rich",1974-06-28
"9449","9","11","6","Haai Casanova","Glenys Lynne",1974-06-28
"9450","10","9","8","Hooked on a Feeling","Blue Swede",1974-06-28
"9451","11","13","5","The Show Must Go On","Leo Sayer",1974-06-28
"9452","12","10","11","I Need a Little Love","Lionel Petersen",1974-06-28
"9453","13","17","3","Tchip Tchip","Dan Hill",1974-06-28
"9454","14","12","13","The Entertainer","Marvin Hamlisch",1974-06-28
"9455","15","20","2","TSOP (The Sound of Philadelphia)","MFSB",1974-06-28
"9456","16","16","3","Little Soldier Blue","Gwynneth Ashley-Robin",1974-06-28
"9457","17","14","10","Everything I Want to Do","Albert Hammond",1974-06-28
"9458","18","18","8","Mockingbird","Carly Simon & James Taylor",1974-06-28
"9459","19","New","1","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-06-28
"9460","20","15","16","Hello Girl","Dr. Marigold’s",1974-06-28
"9461","1","2","8","The Air That I Breathe","Hollies",1974-07-05
"9462","2","1","13","Solitaire","Andy Williams",1974-07-05
"9463","3","3","6","Waterloo","ABBA",1974-07-05
"9464","4","6","6","Emma","Hot Chocolate",1974-07-05
"9465","5","8","6","There Won’t be Anymore","Charlie Rich",1974-07-05
"9466","6","4","13","Seasons in the Sun","Terry Jacks",1974-07-05
"9467","7","13","4","Tchip Tchip","Dan Hill",1974-07-05
"9468","8","7","16","Loving Arms","Dobie Gray",1974-07-05
"9469","9","5","10","Dark Lady","Cher",1974-07-05
"9470","10","9","7","Haai Casanova","Glenys Lynne",1974-07-05
"9471","11","10","9","Hooked on a Feeling","Blue Swede",1974-07-05
"9472","12","12","12","I Need a Little Love","Lionel Petersen",1974-07-05
"9473","13","11","6","The Show Must Go On","Leo Sayer",1974-07-05
"9474","14","14","14","The Entertainer","Marvin Hamlisch",1974-07-05
"9475","15","16","4","Little Soldier Blue","Gwynneth Ashley-Robin",1974-07-05
"9476","16","19","2","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-07-05
"9477","17","15","3","TSOP (The Sound of Philadelphia)","MFSB",1974-07-05
"9478","18","17","11","Everything I Want to Do","Albert Hammond",1974-07-05
"9479","19","New","1","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-07-05
"9480","20","New","1","Give a Little Love","Little Ronnie Joyce",1974-07-05
"9481","1","1","9","The Air That I Breathe","Hollies",1974-07-12
"9482","2","3","7","Waterloo","ABBA",1974-07-12
"9483","3","4","7","Emma","Hot Chocolate",1974-07-12
"9484","4","2","14","Solitaire","Andy Williams",1974-07-12
"9485","5","7","5","Tchip Tchip","Dan Hill",1974-07-12
"9486","6","5","7","There Won’t be Anymore","Charlie Rich",1974-07-12
"9487","7","10","8","Haai Casanova","Glenys Lynne",1974-07-12
"9488","8","6","14","Seasons in the Sun","Terry Jacks",1974-07-12
"9489","9","8","17","Loving Arms","Dobie Gray",1974-07-12
"9490","10","16","3","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-07-12
"9491","11","9","11","Dark Lady","Cher",1974-07-12
"9492","12","15","5","Little Soldier Blue","Gwynneth Ashley-Robin",1974-07-12
"9493","13","11","10","Hooked on a Feeling","Blue Swede",1974-07-12
"9494","14","17","4","TSOP (The Sound of Philadelphia)","MFSB",1974-07-12
"9495","15","19","2","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-07-12
"9496","16","13","7","The Show Must Go On","Leo Sayer",1974-07-12
"9497","17","12","13","I Need a Little Love","Lionel Petersen",1974-07-12
"9498","18","14","15","The Entertainer","Marvin Hamlisch",1974-07-12
"9499","19","New","1","Sundown","Gordon Lightfoot",1974-07-12
"9500","20","20","2","Give a Little Love","Little Ronnie Joyce",1974-07-12
"9501","1","2","8","Waterloo","ABBA",1974-07-19
"9502","2","1","10","The Air That I Breathe","Hollies",1974-07-19
"9503","3","3","8","Emma","Hot Chocolate",1974-07-19
"9504","4","4","15","Solitaire","Andy Williams",1974-07-19
"9505","5","5","6","Tchip Tchip","Dan Hill",1974-07-19
"9506","6","10","4","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-07-19
"9507","7","6","8","There Won’t be Anymore","Charlie Rich",1974-07-19
"9508","8","7","9","Haai Casanova","Glenys Lynne",1974-07-19
"9509","9","12","6","Little Soldier Blue","Gwynneth Ashley-Robin",1974-07-19
"9510","10","19","2","Sundown","Gordon Lightfoot",1974-07-19
"9511","11","9","18","Loving Arms","Dobie Gray",1974-07-19
"9512","12","8","15","Seasons in the Sun","Terry Jacks",1974-07-19
"9513","13","14","5","TSOP (The Sound of Philadelphia)","MFSB",1974-07-19
"9514","14","15","3","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-07-19
"9515","15","11","12","Dark Lady","Cher",1974-07-19
"9516","16","13","11","Hooked on a Feeling","Blue Swede",1974-07-19
"9517","17","New","1","Joey","Barbara Ray",1974-07-19
"9518","18","New","1","Long Legged Woman Dressed in Black","Mungo Jerry",1974-07-19
"9519","19","New","1","Band on the Run","Wings",1974-07-19
"9520","20","New","1","Shlick Shlack Boom Boom","Lee Reed",1974-07-19
"9521","1","1","9","Waterloo","ABBA",1974-07-26
"9522","2","2","11","The Air That I Breathe","Hollies",1974-07-26
"9523","3","10","3","Sundown","Gordon Lightfoot",1974-07-26
"9524","4","4","16","Solitaire","Andy Williams",1974-07-26
"9525","5","5","7","Tchip Tchip","Dan Hill",1974-07-26
"9526","6","7","9","There Won’t be Anymore","Charlie Rich",1974-07-26
"9527","7","3","9","Emma","Hot Chocolate",1974-07-26
"9528","8","6","5","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-07-26
"9529","9","8","10","Haai Casanova","Glenys Lynne",1974-07-26
"9530","10","9","7","Little Soldier Blue","Gwynneth Ashley-Robin",1974-07-26
"9531","11","18","2","Long Legged Woman Dressed in Black","Mungo Jerry",1974-07-26
"9532","12","11","19","Loving Arms","Dobie Gray",1974-07-26
"9533","13","14","4","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-07-26
"9534","14","17","2","Joey","Barbara Ray",1974-07-26
"9535","15","19","2","Band on the Run","Wings",1974-07-26
"9536","16","13","6","TSOP (The Sound of Philadelphia)","MFSB",1974-07-26
"9537","17","20","2","Shlick Shlack Boom Boom","Lee Reed",1974-07-26
"9538","18","12","16","Seasons in the Sun","Terry Jacks",1974-07-26
"9539","19","New","1","Heartbeat","Jody Wayne",1974-07-26
"9540","20","New","1","Sugar Baby Love","Rubettes",1974-07-26
"9541","1","3","4","Sundown","Gordon Lightfoot",1974-08-02
"9542","2","1","10","Waterloo","ABBA",1974-08-02
"9543","3","2","12","The Air That I Breathe","Hollies",1974-08-02
"9544","4","5","8","Tchip Tchip","Dan Hill",1974-08-02
"9545","5","8","6","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-08-02
"9546","6","4","17","Solitaire","Andy Williams",1974-08-02
"9547","7","6","10","There Won’t be Anymore","Charlie Rich",1974-08-02
"9548","8","9","11","Haai Casanova","Glenys Lynne",1974-08-02
"9549","9","11","3","Long Legged Woman Dressed in Black","Mungo Jerry",1974-08-02
"9550","10","7","10","Emma","Hot Chocolate",1974-08-02
"9551","11","15","3","Band on the Run","Wings",1974-08-02
"9552","12","13","5","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-08-02
"9553","13","10","8","Little Soldier Blue","Gwynneth Ashley-Robin",1974-08-02
"9554","14","14","3","Joey","Barbara Ray",1974-08-02
"9555","15","12","20","Loving Arms","Dobie Gray",1974-08-02
"9556","16","17","3","Shlick Shlack Boom Boom","Lee Reed",1974-08-02
"9557","17","19","2","Heartbeat","Jody Wayne",1974-08-02
"9558","18","20","2","Sugar Baby Love","Rubettes",1974-08-02
"9559","19","16","7","TSOP (The Sound of Philadelphia)","MFSB",1974-08-02
"9560","20","New","1","Let Me Roll It","Wings",1974-08-02
"9561","1","1","5","Sundown","Gordon Lightfoot",1974-08-09
"9562","2","2","11","Waterloo","ABBA",1974-08-09
"9563","3","5","7","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-08-09
"9564","4","3","13","The Air That I Breathe","Hollies",1974-08-09
"9565","5","4","9","Tchip Tchip","Dan Hill",1974-08-09
"9566","6","11","4","Band on the Run","Wings",1974-08-09
"9567","7","7","11","There Won’t be Anymore","Charlie Rich",1974-08-09
"9568","8","6","18","Solitaire","Andy Williams",1974-08-09
"9569","9","9","4","Long Legged Woman Dressed in Black","Mungo Jerry",1974-08-09
"9570","10","18","3","Sugar Baby Love","Rubettes",1974-08-09
"9571","11","8","12","Haai Casanova","Glenys Lynne",1974-08-09
"9572","12","14","4","Joey","Barbara Ray",1974-08-09
"9573","13","10","11","Emma","Hot Chocolate",1974-08-09
"9574","14","16","4","Shlick Shlack Boom Boom","Lee Reed",1974-08-09
"9575","15","17","3","Heartbeat","Jody Wayne",1974-08-09
"9576","16","12","6","Baby, Baby Answer Me (I’m Calling)","Peter Vee",1974-08-09
"9577","17","13","9","Little Soldier Blue","Gwynneth Ashley-Robin",1974-08-09
"9578","18","20","2","Let Me Roll It","Wings",1974-08-09
"9579","19","New","1","Doctor’s Orders","Sunny",1974-08-09
"9580","20","New","1","Over and Over","George Baker Selection",1974-08-09
"9581","1","1","6","Sundown","Gordon Lightfoot",1974-08-16
"9582","2","6","5","Band on the Run","Wings",1974-08-16
"9583","3","3","8","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-08-16
"9584","4","2","12","Waterloo","ABBA",1974-08-16
"9585","5","10","4","Sugar Baby Love","Rubettes",1974-08-16
"9586","6","9","5","Long Legged Woman Dressed in Black","Mungo Jerry",1974-08-16
"9587","7","5","10","Tchip Tchip","Dan Hill",1974-08-16
"9588","8","7","12","There Won’t be Anymore","Charlie Rich",1974-08-16
"9589","9","4","14","The Air That I Breathe","Hollies",1974-08-16
"9590","10","18","3","Let Me Roll It","Wings",1974-08-16
"9591","11","8","19","Solitaire","Andy Williams",1974-08-16
"9592","12","New","1","The Night Chicago Died","Paper Lace",1974-08-16
"9593","13","12","5","Joey","Barbara Ray",1974-08-16
"9594","14","14","5","Shlick Shlack Boom Boom","Lee Reed",1974-08-16
"9595","15","15","4","Heartbeat","Jody Wayne",1974-08-16
"9596","16","New","1","Touch too Much","Arrows",1974-08-16
"9597","17","11","13","Haai Casanova","Glenys Lynne",1974-08-16
"9598","18","19","2","Doctor’s Orders","Sunny",1974-08-16
"9599","19","20","2","Over and Over","George Baker Selection",1974-08-16
"9600","20","New","1","Apple of My Eye","Badfinger",1974-08-16
"9601","1","1","7","Sundown","Gordon Lightfoot",1974-08-23
"9602","2","2","6","Band on the Run","Wings",1974-08-23
"9603","3","5","5","Sugar Baby Love","Rubettes",1974-08-23
"9604","4","6","6","Long Legged Woman Dressed in Black","Mungo Jerry",1974-08-23
"9605","5","3","9","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-08-23
"9606","6","10","4","Let Me Roll It","Wings",1974-08-23
"9607","7","4","13","Waterloo","ABBA",1974-08-23
"9608","8","12","2","The Night Chicago Died","Paper Lace",1974-08-23
"9609","9","16","2","Touch too Much","Arrows",1974-08-23
"9610","10","14","6","Shlick Shlack Boom Boom","Lee Reed",1974-08-23
"9611","11","8","13","There Won’t be Anymore","Charlie Rich",1974-08-23
"9612","12","20","2","Apple of My Eye","Badfinger",1974-08-23
"9613","13","9","15","The Air That I Breathe","Hollies",1974-08-23
"9614","14","19","3","Over and Over","George Baker Selection",1974-08-23
"9615","15","7","11","Tchip Tchip","Dan Hill",1974-08-23
"9616","16","18","3","Doctor’s Orders","Sunny",1974-08-23
"9617","17","15","5","Heartbeat","Jody Wayne",1974-08-23
"9618","18","11","20","Solitaire","Andy Williams",1974-08-23
"9619","19","New","1","Rock Your Baby","George McCrae",1974-08-23
"9620","20","New","1","A Rose Has to Die","Dennis East",1974-08-23
"9621","1","1","8","Sundown","Gordon Lightfoot",1974-08-30
"9622","2","2","7","Band on the Run","Wings",1974-08-30
"9623","3","3","6","Sugar Baby Love","Rubettes",1974-08-30
"9624","4","8","3","The Night Chicago Died","Paper Lace",1974-08-30
"9625","5","6","5","Let Me Roll It","Wings",1974-08-30
"9626","6","4","7","Long Legged Woman Dressed in Black","Mungo Jerry",1974-08-30
"9627","7","9","3","Touch too Much","Arrows",1974-08-30
"9628","8","7","14","Waterloo","ABBA",1974-08-30
"9629","9","5","10","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-08-30
"9630","10","New","1","Why Me","Kris Kristofferson",1974-08-30
"9631","11","12","3","Apple of My Eye","Badfinger",1974-08-30
"9632","12","19","2","Rock Your Baby","George McCrae",1974-08-30
"9633","13","10","7","Shlick Shlack Boom Boom","Lee Reed",1974-08-30
"9634","14","20","2","A Rose Has to Die","Dennis East",1974-08-30
"9635","15","11","14","There Won’t be Anymore","Charlie Rich",1974-08-30
"9636","16","14","4","Over and Over","George Baker Selection",1974-08-30
"9637","17","13","16","The Air That I Breathe","Hollies",1974-08-30
"9638","18","16","4","Doctor’s Orders","Sunny",1974-08-30
"9639","19","New","1","Just an Ever Lovin’ Woman","Tommy Oliver",1974-08-30
"9640","20","New","1","Hazy Hazy (Crazy Crazy)","Geli & Billy",1974-08-30
"9641","1","10","2","Why Me","Kris Kristofferson",1974-09-06
"9642","2","3","7","Sugar Baby Love","Rubettes",1974-09-06
"9643","3","7","4","Touch too Much","Arrows",1974-09-06
"9644","4","4","4","The Night Chicago Died","Paper Lace",1974-09-06
"9645","5","5","6","Let Me Roll It","Wings",1974-09-06
"9646","6","1","9","Sundown","Gordon Lightfoot",1974-09-06
"9647","7","2","8","Band on the Run","Wings",1974-09-06
"9648","8","12","3","Rock Your Baby","George McCrae",1974-09-06
"9649","9","19","2","Just an Ever Lovin’ Woman","Tommy Oliver",1974-09-06
"9650","10","6","8","Long Legged Woman Dressed in Black","Mungo Jerry",1974-09-06
"9651","11","14","3","A Rose Has to Die","Dennis East",1974-09-06
"9652","12","11","4","Apple of My Eye","Badfinger",1974-09-06
"9653","13","16","5","Over and Over","George Baker Selection",1974-09-06
"9654","14","8","15","Waterloo","ABBA",1974-09-06
"9655","15","13","8","Shlick Shlack Boom Boom","Lee Reed",1974-09-06
"9656","16","New","1","If You Love Me (Let Me Know)","Olivia Newton-John",1974-09-06
"9657","17","9","11","Ma! (He’s Making Eyes at Me)","Lena Zavaroni",1974-09-06
"9658","18","20","2","Hazy Hazy (Crazy Crazy)","Geli & Billy",1974-09-06
"9659","19","New","1","One Man Band","Leo Sayer",1974-09-06
"9660","20","New","1","Jack o’ Diamond","Walkers",1974-09-06
"9661","1","1","3","Why Me","Kris Kristofferson",1974-09-13
"9662","2","2","8","Sugar Baby Love","Rubettes",1974-09-13
"9663","3","3","5","Touch too Much","Arrows",1974-09-13
"9664","4","4","5","The Night Chicago Died","Paper Lace",1974-09-13
"9665","5","5","7","Let Me Roll It","Wings",1974-09-13
"9666","6","8","4","Rock Your Baby","George McCrae",1974-09-13
"9667","7","6","10","Sundown","Gordon Lightfoot",1974-09-13
"9668","8","7","9","Band on the Run","Wings",1974-09-13
"9669","9","11","4","A Rose Has to Die","Dennis East",1974-09-13
"9670","10","9","3","Just an Ever Lovin’ Woman","Tommy Oliver",1974-09-13
"9671","11","10","9","Long Legged Woman Dressed in Black","Mungo Jerry",1974-09-13
"9672","12","13","6","Over and Over","George Baker Selection",1974-09-13
"9673","13","12","5","Apple of My Eye","Badfinger",1974-09-13
"9674","14","16","2","If You Love Me (Let Me Know)","Olivia Newton-John",1974-09-13
"9675","15","19","2","One Man Band","Leo Sayer",1974-09-13
"9676","16","15","9","Shlick Shlack Boom Boom","Lee Reed",1974-09-13
"9677","17","20","2","Jack o’ Diamond","Walkers",1974-09-13
"9678","18","18","3","Hazy Hazy (Crazy Crazy)","Geli & Billy",1974-09-13
"9679","19","New","1","Rock the Boat","Hues Corporation",1974-09-13
"9680","20","New","1","Don’t Break This Heart","Gerry Grayson",1974-09-13
"9681","1","1","4","Why Me","Kris Kristofferson",1974-09-20
"9682","2","3","6","Touch too Much","Arrows",1974-09-20
"9683","3","4","6","The Night Chicago Died","Paper Lace",1974-09-20
"9684","4","5","8","Let Me Roll It","Wings",1974-09-20
"9685","5","2","9","Sugar Baby Love","Rubettes",1974-09-20
"9686","6","6","5","Rock Your Baby","George McCrae",1974-09-20
"9687","7","10","4","Just an Ever Lovin’ Woman","Tommy Oliver",1974-09-20
"9688","8","9","5","A Rose Has to Die","Dennis East",1974-09-20
"9689","9","8","10","Band on the Run","Wings",1974-09-20
"9690","10","7","11","Sundown","Gordon Lightfoot",1974-09-20
"9691","11","14","3","If You Love Me (Let Me Know)","Olivia Newton-John",1974-09-20
"9692","12","17","3","Jack o’ Diamond","Walkers",1974-09-20
"9693","13","12","7","Over and Over","George Baker Selection",1974-09-20
"9694","14","13","6","Apple of My Eye","Badfinger",1974-09-20
"9695","15","15","3","One Man Band","Leo Sayer",1974-09-20
"9696","16","11","10","Long Legged Woman Dressed in Black","Mungo Jerry",1974-09-20
"9697","17","20","2","Don’t Break This Heart","Gerry Grayson",1974-09-20
"9698","18","19","2","Rock the Boat","Hues Corporation",1974-09-20
"9699","19","New","1","My Hart Het ‘n Kleine Venster","Glenys Lynne",1974-09-20
"9700","20","18","4","Hazy Hazy (Crazy Crazy)","Geli & Billy",1974-09-20
"9701","1","1","5","Why Me","Kris Kristofferson",1974-09-27
"9702","2","2","7","Touch too Much","Arrows",1974-09-27
"9703","3","4","9","Let Me Roll It","Wings",1974-09-27
"9704","4","6","6","Rock Your Baby","George McCrae",1974-09-27
"9705","5","3","7","The Night Chicago Died","Paper Lace",1974-09-27
"9706","6","8","6","A Rose Has to Die","Dennis East",1974-09-27
"9707","7","11","4","If You Love Me (Let Me Know)","Olivia Newton-John",1974-09-27
"9708","8","5","10","Sugar Baby Love","Rubettes",1974-09-27
"9709","9","7","5","Just an Ever Lovin’ Woman","Tommy Oliver",1974-09-27
"9710","10","9","11","Band on the Run","Wings",1974-09-27
"9711","11","13","8","Over and Over","George Baker Selection",1974-09-27
"9712","12","12","4","Jack o’ Diamond","Walkers",1974-09-27
"9713","13","18","3","Rock the Boat","Hues Corporation",1974-09-27
"9714","14","10","12","Sundown","Gordon Lightfoot",1974-09-27
"9715","15","14","7","Apple of My Eye","Badfinger",1974-09-27
"9716","16","17","3","Don’t Break This Heart","Gerry Grayson",1974-09-27
"9717","17","15","4","One Man Band","Leo Sayer",1974-09-27
"9718","18","New","1","Rock Me Gently","Andy Kim",1974-09-27
"9719","19","19","2","My Hart Het ‘n Kleine Venster","Glenys Lynne",1974-09-27
"9720","20","New","1","Annie’s Song","John Denver",1974-09-27
"9721","1","1","6","Why Me","Kris Kristofferson",1974-10-04
"9722","2","2","8","Touch too Much","Arrows",1974-10-04
"9723","3","4","7","Rock Your Baby","George McCrae",1974-10-04
"9724","4","5","8","The Night Chicago Died","Paper Lace",1974-10-04
"9725","5","7","5","If You Love Me (Let Me Know)","Olivia Newton-John",1974-10-04
"9726","6","3","10","Let Me Roll It","Wings",1974-10-04
"9727","7","12","5","Jack o’ Diamond","Walkers",1974-10-04
"9728","8","6","7","A Rose Has to Die","Dennis East",1974-10-04
"9729","9","13","4","Rock the Boat","Hues Corporation",1974-10-04
"9730","10","8","11","Sugar Baby Love","Rubettes",1974-10-04
"9731","11","10","12","Band on the Run","Wings",1974-10-04
"9732","12","9","6","Just an Ever Lovin’ Woman","Tommy Oliver",1974-10-04
"9733","13","11","9","Over and Over","George Baker Selection",1974-10-04
"9734","14","18","2","Rock Me Gently","Andy Kim",1974-10-04
"9735","15","15","8","Apple of My Eye","Badfinger",1974-10-04
"9736","16","16","4","Don’t Break This Heart","Gerry Grayson",1974-10-04
"9737","17","17","5","One Man Band","Leo Sayer",1974-10-04
"9738","18","20","2","Annie’s Song","John Denver",1974-10-04
"9739","19","New","1","When Will I See You Again","Three Degrees",1974-10-04
"9740","20","19","3","My Hart Het ‘n Kleine Venster","Glenys Lynne",1974-10-04
"9741","1","1","7","Why Me","Kris Kristofferson",1974-10-11
"9742","2","5","6","If You Love Me (Let Me Know)","Olivia Newton-John",1974-10-11
"9743","3","3","8","Rock Your Baby","George McCrae",1974-10-11
"9744","4","4","9","The Night Chicago Died","Paper Lace",1974-10-11
"9745","5","2","9","Touch too Much","Arrows",1974-10-11
"9746","6","6","11","Let Me Roll It","Wings",1974-10-11
"9747","7","9","5","Rock the Boat","Hues Corporation",1974-10-11
"9748","8","7","6","Jack o’ Diamond","Walkers",1974-10-11
"9749","9","8","8","A Rose Has to Die","Dennis East",1974-10-11
"9750","10","14","3","Rock Me Gently","Andy Kim",1974-10-11
"9751","11","12","7","Just an Ever Lovin’ Woman","Tommy Oliver",1974-10-11
"9752","12","11","13","Band on the Run","Wings",1974-10-11
"9753","13","15","9","Apple of My Eye","Badfinger",1974-10-11
"9754","14","13","10","Over and Over","George Baker Selection",1974-10-11
"9755","15","10","12","Sugar Baby Love","Rubettes",1974-10-11
"9756","16","18","3","Annie’s Song","John Denver",1974-10-11
"9757","17","16","5","Don’t Break This Heart","Gerry Grayson",1974-10-11
"9758","18","New","1","Kung Fu Fighting","Carl Douglas",1974-10-11
"9759","19","19","2","When Will I See You Again","Three Degrees",1974-10-11
"9760","20","New","1","Try a Little Love","Lionel Petersen",1974-10-11
"9761","1","1","8","Why Me","Kris Kristofferson",1974-10-18
"9762","2","2","7","If You Love Me (Let Me Know)","Olivia Newton-John",1974-10-18
"9763","3","4","10","The Night Chicago Died","Paper Lace",1974-10-18
"9764","4","3","9","Rock Your Baby","George McCrae",1974-10-18
"9765","5","5","10","Touch too Much","Arrows",1974-10-18
"9766","6","7","6","Rock the Boat","Hues Corporation",1974-10-18
"9767","7","10","4","Rock Me Gently","Andy Kim",1974-10-18
"9768","8","6","12","Let Me Roll It","Wings",1974-10-18
"9769","9","8","7","Jack o’ Diamond","Walkers",1974-10-18
"9770","10","9","9","A Rose Has to Die","Dennis East",1974-10-18
"9771","11","16","4","Annie’s Song","John Denver",1974-10-18
"9772","12","11","8","Just an Ever Lovin’ Woman","Tommy Oliver",1974-10-18
"9773","13","17","6","Don’t Break This Heart","Gerry Grayson",1974-10-18
"9774","14","13","10","Apple of My Eye","Badfinger",1974-10-18
"9775","15","18","2","Kung Fu Fighting","Carl Douglas",1974-10-18
"9776","16","20","2","Try a Little Love","Lionel Petersen",1974-10-18
"9777","17","12","14","Band on the Run","Wings",1974-10-18
"9778","18","New","1","Kissin’ in the Back Row of the Movies","Drifters",1974-10-18
"9779","19","New","1","Rub it In","Billy “Crash” Craddock",1974-10-18
"9780","20","19","3","When Will I See You Again","Three Degrees",1974-10-18
"9781","1","1","9","Why Me","Kris Kristofferson",1974-10-25
"9782","2","2","8","If You Love Me (Let Me Know)","Olivia Newton-John",1974-10-25
"9783","3","4","10","Rock Your Baby","George McCrae",1974-10-25
"9784","4","3","11","The Night Chicago Died","Paper Lace",1974-10-25
"9785","5","6","7","Rock the Boat","Hues Corporation",1974-10-25
"9786","6","7","5","Rock Me Gently","Andy Kim",1974-10-25
"9787","7","5","11","Touch too Much","Arrows",1974-10-25
"9788","8","18","2","Kissin’ in the Back Row of the Movies","Drifters",1974-10-25
"9789","9","8","13","Let Me Roll It","Wings",1974-10-25
"9790","10","15","3","Kung Fu Fighting","Carl Douglas",1974-10-25
"9791","11","11","5","Annie’s Song","John Denver",1974-10-25
"9792","12","10","10","A Rose Has to Die","Dennis East",1974-10-25
"9793","13","9","8","Jack o’ Diamond","Walkers",1974-10-25
"9794","14","20","4","When Will I See You Again","Three Degrees",1974-10-25
"9795","15","16","3","Try a Little Love","Lionel Petersen",1974-10-25
"9796","16","12","9","Just an Ever Lovin’ Woman","Tommy Oliver",1974-10-25
"9797","17","14","11","Apple of My Eye","Badfinger",1974-10-25
"9798","18","13","7","Don’t Break This Heart","Gerry Grayson",1974-10-25
"9799","19","19","2","Rub it In","Billy “Crash” Craddock",1974-10-25
"9800","20","New","1","Mama Tembu’s Wedding","Margaret Singana",1974-10-25
"9801","1","2","9","If You Love Me (Let Me Know)","Olivia Newton-John",1974-11-01
"9802","2","1","10","Why Me","Kris Kristofferson",1974-11-01
"9803","3","3","11","Rock Your Baby","George McCrae",1974-11-01
"9804","4","4","12","The Night Chicago Died","Paper Lace",1974-11-01
"9805","5","5","8","Rock the Boat","Hues Corporation",1974-11-01
"9806","6","8","3","Kissin’ in the Back Row of the Movies","Drifters",1974-11-01
"9807","7","6","6","Rock Me Gently","Andy Kim",1974-11-01
"9808","8","10","4","Kung Fu Fighting","Carl Douglas",1974-11-01
"9809","9","7","12","Touch too Much","Arrows",1974-11-01
"9810","10","14","5","When Will I See You Again","Three Degrees",1974-11-01
"9811","11","11","6","Annie’s Song","John Denver",1974-11-01
"9812","12","12","11","A Rose Has to Die","Dennis East",1974-11-01
"9813","13","15","4","Try a Little Love","Lionel Petersen",1974-11-01
"9814","14","9","14","Let Me Roll It","Wings",1974-11-01
"9815","15","13","9","Jack o’ Diamond","Walkers",1974-11-01
"9816","16","19","3","Rub it In","Billy “Crash” Craddock",1974-11-01
"9817","17","16","10","Just an Ever Lovin’ Woman","Tommy Oliver",1974-11-01
"9818","18","20","2","Mama Tembu’s Wedding","Margaret Singana",1974-11-01
"9819","19","18","8","Don’t Break This Heart","Gerry Grayson",1974-11-01
"9820","20","New","1","Born with a Smile on My Face","Stephanie de Sykes",1974-11-01
"9821","1","1","10","If You Love Me (Let Me Know)","Olivia Newton-John",1974-11-08
"9822","2","2","11","Why Me","Kris Kristofferson",1974-11-08
"9823","3","3","12","Rock Your Baby","George McCrae",1974-11-08
"9824","4","6","4","Kissin’ in the Back Row of the Movies","Drifters",1974-11-08
"9825","5","4","13","The Night Chicago Died","Paper Lace",1974-11-08
"9826","6","8","5","Kung Fu Fighting","Carl Douglas",1974-11-08
"9827","7","7","7","Rock Me Gently","Andy Kim",1974-11-08
"9828","8","16","4","Rub it In","Billy “Crash” Craddock",1974-11-08
"9829","9","5","9","Rock the Boat","Hues Corporation",1974-11-08
"9830","10","9","13","Touch too Much","Arrows",1974-11-08
"9831","11","10","6","When Will I See You Again","Three Degrees",1974-11-08
